notas_tecnicas_id,id_nota_hoja,nombre_nota,procedimiento_id,cups,nombre_procedimiento,tarifa
291,3,EMSSANAR CAPITA,24,234402,INSERCION - ADAPTACION Y CONTROL DE PROTESIS MUCOSOPORTADA TOTAL SUPERIOR E INFERIOR,0.00
60,3,EMSSANAR CAPITA,25,237102,PULPOTOMIA,0.00
61,3,EMSSANAR CAPITA,26,237103,PULPECTOMIA,0.00
62,3,EMSSANAR CAPITA,27,237301,TERAPIA DE CONDUCTO RADICULAR EN DIENTE UNIRRADICULAR,0.00
63,3,EMSSANAR CAPITA,28,237302,TERAPIA DE CONDUCTO RADICULAR EN DIENTE BIRRADICULAR,0.00
64,3,EMSSANAR CAPITA,29,237304,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL UNIRRADICULAR,0.00
292,3,EMSSANAR CAPITA,30,240301,"ALISADO RADICULAR, CAMPO CERRADO",0.00
65,3,EMSSANAR CAPITA,31,243201,SUTURA DE LACERACION DE ENCIA - MENOR DE TRES CENTIMETROS,0.00
66,3,EMSSANAR CAPITA,35,274901,REMOCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE LA BOCA,0.00
67,3,EMSSANAR CAPITA,36,275101,SUTURA O REPARACION DE LACERACION (HERIDA) EN LABIOS HASTA DE CINCO CENTIMETROS,0.00
68,3,EMSSANAR CAPITA,37,275102,SUTURA O REPARACION DE LACERACION (HERIDA) EN LABIOS DE MAS DE CINCO CENTIMETROS,0.00
69,3,EMSSANAR CAPITA,38,275104,SUTURA DE LACERACION EN LABIOS,0.00
70,3,EMSSANAR CAPITA,39,275203,SUTURA DE LACERACION DE OTRA PARTE DE LA BOCA,0.00
71,3,EMSSANAR CAPITA,40,389301,CATETERISMO O CANALIZACION DE VENA,0.00
72,3,EMSSANAR CAPITA,41,579401,INSERCION DE DISPOSITIVO URINARIO (VESICAL),0.00
73,3,EMSSANAR CAPITA,42,579501,REEMPLAZO DE DISPOSITIVO URINARIO (VESICAL),0.00
74,3,EMSSANAR CAPITA,443,5DS002,DERECHOS DE SALA DE CURACIONES O PROCEDIMIENTOS,0.00
75,3,EMSSANAR CAPITA,444,5DS003,DERECHOS DE SALA DE PEQUENA CIRUGIA (SUTURAS),0.00
76,3,EMSSANAR CAPITA,445,5DS004,DERECHOS DE SALA DE YESOS,0.00
77,3,EMSSANAR CAPITA,446,5DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA,0.00
78,3,EMSSANAR CAPITA,447,601T01,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO,0.00
279,3,EMSSANAR CAPITA,43,697101,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [DIU],0.00
315,3,EMSSANAR CAPITA,46,735301,ASISTENCIA DEL PARTO CON O SIN EPISIORRAFIA O PERINEORRAFIA,0.00
316,3,EMSSANAR CAPITA,47,735980,OTRA ASISTENCIA MANUAL DEL PARTO ESPONTANEO,0.00
293,3,EMSSANAR CAPITA,48,750303,EVACUACION UTERINA PARA TERMINACION DEL EMBARAZO POR OTROS METODOS,0.00
317,3,EMSSANAR CAPITA,49,754101,"REMOCION MANUAL DE PLACENTA RETENIDA O REVISION UTERINA, SIN ATENCION DEL PARTO",0.00
79,3,EMSSANAR CAPITA,50,786902,"EXTRACCION DE CUERPO EXTRANO EN FALANGES (UNO O MAS) DE MANO, VIA ABIERTA",0.00
80,3,EMSSANAR CAPITA,52,829910,EXTRACCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE DEDOS DE LA MANO,0.00
81,3,EMSSANAR CAPITA,53,858101,SUTURA DE HERIDA DE MAMA,0.00
82,3,EMSSANAR CAPITA,54,860207,LEISHMANIA PRUEBA [ DE MONTENEGRO ],0.00
83,3,EMSSANAR CAPITA,57,861201,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA GENERAL POR INCISION,0.00
84,3,EMSSANAR CAPITA,58,861202,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA ESPECIAL POR INCISION,0.00
280,3,EMSSANAR CAPITA,59,861203,EXTRACCION DE ANTICONCEPTIVOS SUBDERMICOS POR INCISION,0.00
281,3,EMSSANAR CAPITA,60,861801,INSERCION DE ANTICONCEPTIVOS SUBDERMICOS,0.00
85,3,EMSSANAR CAPITA,61,862701,ONICECTOMIA,0.00
86,3,EMSSANAR CAPITA,62,865101,"SUTURA DE HERIDA UNICA, EN AREA GENERAL",0.00
87,3,EMSSANAR CAPITA,63,865102,"SUTURA DE HERIDA MULTIPLE, EN AREA GENERAL",0.00
88,3,EMSSANAR CAPITA,64,865201,SUTURA DE HERIDA UNICA DE CARA,0.00
89,3,EMSSANAR CAPITA,65,865202,SUTURA DE HERIDA UNICA DE CARA SIN COMPROMISO DE LABIOS O PARPADOS,0.00
90,3,EMSSANAR CAPITA,66,865203,"SUTURA DE HERIDA UNICA DE PLIEGUES DE FLEXION, GENITALES, MANOS Y PIES",0.00
91,3,EMSSANAR CAPITA,67,865204,SUTURA DE HERIDA MULTIPLE DE CARA,0.00
92,3,EMSSANAR CAPITA,68,865205,SUTURA DE HERIDA MULTIPLE DE CARA SIN COMPROMISO DE LABIOS O PARPADOS,0.00
93,3,EMSSANAR CAPITA,69,865206,"SUTURA DE HERIDA MULTIPLE DE PLIEGUES DE FLEXION, GENITALES, MANOS Y PIES",0.00
94,3,EMSSANAR CAPITA,70,865207,SUTURA DE HERIDA PARCIAL DE CUERO CABELLUDO (ESCALPE),0.00
95,3,EMSSANAR CAPITA,71,865208,"SUTURA DE AVULSION EN PABELLON AURICULAR, NARIZ, LABIOS, PARPADOS O GENITALES",0.00
96,3,EMSSANAR CAPITA,72,865210,SUTURA DE MATRIZ UNGUEAL,0.00
97,3,EMSSANAR CAPITA,73,869401,RETIRO DE SUTURA EN PIEL O TEJIDO CELULAR SUBCUTANEO,0.00
98,3,EMSSANAR CAPITA,74,869501,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO,0.00
99,3,EMSSANAR CAPITA,75,870001,RADIOGRAFIA DE CRANEO SIMPLE,0.00
100,3,EMSSANAR CAPITA,76,870003,RADIOGRAFIA DE BASE DE CRANEO,0.00
101,3,EMSSANAR CAPITA,77,870005,RADIOGRAFIA DE MASTOIDES COMPARATIVAS,0.00
102,3,EMSSANAR CAPITA,78,870101,RADIOGRAFIA DE CARA (PERFILOGRAMA),0.00
103,3,EMSSANAR CAPITA,79,870102,RADIOGRAFIA DE ORBITAS,0.00
104,3,EMSSANAR CAPITA,81,870107,RADIOGRAFIA DE HUESOS NASALES,0.00
105,3,EMSSANAR CAPITA,82,870108,RADIOGRAFIA DE SENOS PARANASALES,0.00
106,3,EMSSANAR CAPITA,89,871010,RADIOGRAFIA DE COLUMNA CERVICAL,0.00
107,3,EMSSANAR CAPITA,91,871020,RADIOGRAFIA DE COLUMNA TORACICA,0.00
108,3,EMSSANAR CAPITA,92,871030,RADIOGRAFIA DE COLUMNA DORSOLUMBAR,0.00
109,3,EMSSANAR CAPITA,93,871040,RADIOGRAFIA DE COLUMNA LUMBOSACRA,0.00
110,3,EMSSANAR CAPITA,94,871050,RADIOGRAFIA DE SACRO COCCIX,0.00
111,3,EMSSANAR CAPITA,97,871091,RADIOGRAFIA DE ARTICULACIONES SACROILIACAS,0.00
112,3,EMSSANAR CAPITA,98,871111,RADIOGRAFIA DE REJA COSTAL,0.00
113,3,EMSSANAR CAPITA,99,871112,RADIOGRAFIA DE ESTERNON,0.00
114,3,EMSSANAR CAPITA,100,871121,"RADIOGRAFIA DE TORAX (P.A. O A.P. Y LATERAL, DECUBITO LATERAL, OBLICUAS O LATERAL)",0.00
115,3,EMSSANAR CAPITA,101,871129,RADIOGRAFIA DE ARTICULACIONES ESTERNOCLAVICULARES,0.00
116,3,EMSSANAR CAPITA,102,872002,RADIOGRAFIA DE ABDOMEN SIMPLE,0.00
117,3,EMSSANAR CAPITA,104,873111,RADIOGRAFIA DE OMOPLATO,0.00
118,3,EMSSANAR CAPITA,105,873112,RADIOGRAFIA DE CLAVICULA,0.00
119,3,EMSSANAR CAPITA,106,873121,RADIOGRAFIA DE HUMERO,0.00
120,3,EMSSANAR CAPITA,107,873122,RADIOGRAFIA DE ANTEBRAZO,0.00
121,3,EMSSANAR CAPITA,109,873202,RADIOGRAFIA DE ARTICULACIONES ACROMIO CLAVICULARES COMPARATIVAS,0.00
122,3,EMSSANAR CAPITA,110,873204,RADIOGRAFIA DE HOMBRO,0.00
123,3,EMSSANAR CAPITA,111,873205,RADIOGRAFIA DE CODO,0.00
124,3,EMSSANAR CAPITA,112,873206,RADIOGRAFIA DE PUNO O MUNECA,0.00
125,3,EMSSANAR CAPITA,113,873210,RADIOGRAFIA DE MANO,0.00
126,3,EMSSANAR CAPITA,116,873312,"RADIOGRAFIA DE FEMUR (AP, LATERAL)",0.00
127,3,EMSSANAR CAPITA,117,873313,"RADIOGRAFIA DE PIERNA (AP, LATERAL)",0.00
128,3,EMSSANAR CAPITA,118,873314,RADIOGRAFIA DE ANTEVERSION TIBIAL,0.00
129,3,EMSSANAR CAPITA,119,873333,"RADIOGRAFIA DE PIE (AP, LATERAL Y OBLICUA)",0.00
130,3,EMSSANAR CAPITA,120,873335,RADIOGRAFIA DE CALCANEO (AXIAL Y LATERAL),0.00
131,3,EMSSANAR CAPITA,121,873340,"RADIOGRAFIA DE MIEMBRO INFERIOR (AP, LATERAL)",0.00
132,3,EMSSANAR CAPITA,122,873411,"RADIOGRAFIA DE CADERA O ARTICULACION COXO-FEMORAL (AP, LATERAL)",0.00
133,3,EMSSANAR CAPITA,124,873420,"RADIOGRAFIA DE RODILLA (AP, LATERAL)",0.00
134,3,EMSSANAR CAPITA,126,873431,"RADIOGRAFIA DE TOBILLO (AP, LATERAL Y ROTACION INTERNA)",0.00
274,3,EMSSANAR CAPITA,3,88001,REPARACION DE HERIDA EN CEJA,0.00
42,3,EMSSANAR CAPITA,3,88001,REPARACION DE HERIDA EN CEJA,0.00
43,3,EMSSANAR CAPITA,4,88201,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO,0.00
275,3,EMSSANAR CAPITA,4,88201,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO,0.00
44,3,EMSSANAR CAPITA,5,88202,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO,0.00
276,3,EMSSANAR CAPITA,5,88202,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO,0.00
31,3,EMSSANAR CAPITA,128,890101,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL,0.00
32,3,EMSSANAR CAPITA,130,890105,ATENCION ( VISITA ) DOMICILIARIA - POR ENFERMERIA. -- INCY : PROCEDIMIENTOS REALIZADOS POR ENFERMERA PROFESIONAL O AUXILIAR DE ENFERMERIA BAJO SU ESTRICTA SUPERVISION,0.00
135,3,EMSSANAR CAPITA,131,890108,ATENCION ( VISITA ) DOMICILIARIA - POR PSICOLOGIA,0.00
33,3,EMSSANAR CAPITA,134,890114,ATENCION ( VISITA ) DOMICILIARIA - POR PROMOTOR DE LA SALUD,0.00
1,3,EMSSANAR CAPITA,135,890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,0.00
2,3,EMSSANAR CAPITA,136,890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,0.00
3,3,EMSSANAR CAPITA,137,890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,0.00
4,3,EMSSANAR CAPITA,138,890206,CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA,0.00
136,3,EMSSANAR CAPITA,139,890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA,0.00
5,3,EMSSANAR CAPITA,142,890301,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL,0.00
6,3,EMSSANAR CAPITA,143,890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL,0.00
7,3,EMSSANAR CAPITA,144,890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA,0.00
8,3,EMSSANAR CAPITA,145,890306,CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA,0.00
137,3,EMSSANAR CAPITA,146,890308,CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGIA,0.00
321,3,EMSSANAR CAPITA,155,890601,CUIDADO (MANEJO) INTRAHOSPITALARIO POR MEDICINA GENERAL ATENCION DIARIA,0.00
2281,3,EMSSANAR CAPITA,711,890601H,DERECHOS DE SALA DE PEQUEAA CIRUGIA ( SUTURAS ),0.00
2276,3,EMSSANAR CAPITA,711,890601H,DERECHOS DE SALA DE PEQUEAA CIRUGIA ( SUTURAS ),0.00
138,3,EMSSANAR CAPITA,157,890701,CONSULTA DE URGENCIAS POR MEDICINA GENERAL,0.00
139,3,EMSSANAR CAPITA,158,890703,CONSULTA DE URGENCIAS POR ODONTOLOGIA GENERAL,0.00
294,3,EMSSANAR CAPITA,160,892901,TOMA NO QUIRURGICA DE MUESTRA O TEJIDO CERVICOVAGINAL PARA ESTUDIO CITOLOGICO,0.00
295,3,EMSSANAR CAPITA,161,892904,TECNICAS DE INSPECCION VISUAL CON ACIDO ACETICO Y LUGOL,0.00
140,3,EMSSANAR CAPITA,163,893812,REGISTRO DE OXIMETRIA CUTANEA,0.00
296,3,EMSSANAR CAPITA,164,895004,MONITOREO AMBULATORIO DE PRESION ARTERIAL SISTEMICA,0.00
141,3,EMSSANAR CAPITA,165,895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE,0.00
2296,3,EMSSANAR CAPITA,166,896101,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA),0.00
318,3,EMSSANAR CAPITA,167,897011,MONITORIA FETAL ANTEPARTO,0.00
319,3,EMSSANAR CAPITA,168,897012,MONITORIA FETAL INTRAPARTO,0.00
142,3,EMSSANAR CAPITA,171,901001,ANTIBIOGRAMA (DISCO),0.00
143,3,EMSSANAR CAPITA,174,901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ZIEHL-NEELSEN],0.00
144,3,EMSSANAR CAPITA,175,901102,COLORACION ACIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA. -- INCY : ISOSPORA BELLI - CRYPTOSPORIDIUM - ENTRE OTROS,0.00
145,3,EMSSANAR CAPITA,176,901104,COLORACION AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA,0.00
146,3,EMSSANAR CAPITA,177,901106,COLORACION GIEMSA Y LECTURA,0.00
147,3,EMSSANAR CAPITA,178,901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA,0.00
148,3,EMSSANAR CAPITA,179,901111,BACILOSCOPIA COLORACION ACIDO ALCOHOL RESISTENTE [ZIELH-NEELSEN] LECTURA SERIADA TRES MUESTRAS,0.00
149,3,EMSSANAR CAPITA,181,901210,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA,0.00
150,3,EMSSANAR CAPITA,184,901230,MYCOBACTERIUM TUBERCULOSIS CULTIVO,0.00
151,3,EMSSANAR CAPITA,186,901235,UROCULTIVO (ANTIBIOGRAMA DE DISCO),0.00
152,3,EMSSANAR CAPITA,189,901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA,0.00
153,3,EMSSANAR CAPITA,190,901305,EXAMEN DIRECTO PARA HONGOS (KOH),0.00
154,3,EMSSANAR CAPITA,192,901325,EXAMEN DIRECTO DE CUALQUIER MUESTRA,0.00
155,3,EMSSANAR CAPITA,193,901326,LEISHMANIA EXAMEN DIRECTO,0.00
156,3,EMSSANAR CAPITA,197,902045,TIEMPO DE PROTROMBINA [TP],0.00
157,3,EMSSANAR CAPITA,198,902049,TIEMPO DE TROMBOPLASTINA PARCIAL [TTP],0.00
158,3,EMSSANAR CAPITA,199,902204,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] MANUAL,0.00
159,3,EMSSANAR CAPITA,201,902207,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL,0.00
160,3,EMSSANAR CAPITA,204,902210,HEMOGRAMA IV [HEMOGLOBINA. HEMATOCRITO. RECUENTO DE ERITROCITOS. INDICES ERITROCITARIOS. LEUCOGRAMA. RECUENTO DE PLAQUETAS. INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA] METODO AUTOMATICO+,0.00
161,3,EMSSANAR CAPITA,205,902211,HEMATOCRITO,0.00
11,3,EMSSANAR CAPITA,206,902213,HEMOGLOBINA,0.00
162,3,EMSSANAR CAPITA,207,902214,HEMOPARASITOS EXTENDIDO DE GOTA GRUESA,0.00
163,3,EMSSANAR CAPITA,208,902215,HEMOPARASITOS. EXTENDIDO DE SANGRE PERIFERICA *+,0.00
164,3,EMSSANAR CAPITA,209,902216,LEUCOGRAMA (RECUENTO TOTAL Y DIFERENCIAL),0.00
165,3,EMSSANAR CAPITA,210,902217,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ],0.00
166,3,EMSSANAR CAPITA,212,902221,RECUENTO DE PLAQUETAS MANUAL,0.00
167,3,EMSSANAR CAPITA,213,902223,RECUENTO DE RETICULOCITOS METODO MANUAL,0.00
297,3,EMSSANAR CAPITA,215,903026,MICROALBUMINURIA AUTOMATIZADA EN ORINA PARCIAL,0.00
277,3,EMSSANAR CAPITA,218,903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA,0.00
168,3,EMSSANAR CAPITA,222,903803,ALBUMINA EN SUERO U OTROS FLUIDOS,0.00
169,3,EMSSANAR CAPITA,224,903805,AMILASA EN SUERO U OTROS FLUIDOS,0.00
170,3,EMSSANAR CAPITA,225,903809,BILIRRUBINAS TOTAL Y DIRECTA,0.00
298,3,EMSSANAR CAPITA,227,903815,COLESTEROL DE ALTA DENSIDAD,0.00
299,3,EMSSANAR CAPITA,228,903816,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO,0.00
300,3,EMSSANAR CAPITA,230,903818,COLESTEROL TOTAL,0.00
301,3,EMSSANAR CAPITA,232,903823,CREATININA DEPURACION,0.00
171,3,EMSSANAR CAPITA,234,903826,CUERPOS CETONICOS O CETONAS EN ORINA,0.00
172,3,EMSSANAR CAPITA,238,903840,GLUCOSA EN ORINA,0.00
173,3,EMSSANAR CAPITA,239,903841,GLUCOSA EN SUERO U OTRO FLUIDO DIFERENTE A ORINA,0.00
174,3,EMSSANAR CAPITA,240,903842,GLUCOSA PRE Y POST CARGA DE GLUCOSA,0.00
175,3,EMSSANAR CAPITA,241,903843,GLUCOSA PRE Y POST PRANDIAL,0.00
176,3,EMSSANAR CAPITA,242,903844,GLUCOSA CURVA DE TOLERANCIA,0.00
302,3,EMSSANAR CAPITA,243,903845,GLUCOSA TEST O’ SULLIVAN,0.00
177,3,EMSSANAR CAPITA,245,903856,NITROGENO UREICO,0.00
178,3,EMSSANAR CAPITA,247,903859,POTASIO EN SUERO U OTROS FLUIDOS,0.00
303,3,EMSSANAR CAPITA,249,903863,PROTEINAS TOTALES EN SUERO Y OTROS FLUIDOS,0.00
179,3,EMSSANAR CAPITA,250,903864,SODIO EN SUERO U OTROS FLUIDOS,0.00
304,3,EMSSANAR CAPITA,253,903868,TRIGLICERIDOS,0.00
305,3,EMSSANAR CAPITA,255,903876,CREATININA EN ORINA PARCIAL,0.00
180,3,EMSSANAR CAPITA,256,903883,GLUCOSA SEMIAUTOMATIZADA [GLUCOMETRIA],0.00
306,3,EMSSANAR CAPITA,257,903895,CREATININA EN SUERO U OTROS FLUIDOS,0.00
278,3,EMSSANAR CAPITA,260,904508,GONADOTROPINA CORIONICA SUBUNIDAD BETA CUALITATIVA PRUEBA DE EMBARAZO EN ORINA O SUERO,0.00
181,3,EMSSANAR CAPITA,261,904902,HORMONA ESTIMULANTE DEL TIROIDES,0.00
182,3,EMSSANAR CAPITA,265,906039,TREPONEMA PALLIDUM ANTICUERPOS (PRUEBA TREPONEMICA) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA,0.00
326,3,EMSSANAR CAPITA,271,906208,DENGUE ANTICUERPOS IG M,0.00
2284,3,EMSSANAR CAPITA,434,9062081,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA,0.00
2279,3,EMSSANAR CAPITA,434,9062081,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA,0.00
325,3,EMSSANAR CAPITA,283,906249,COPROLOGICO POR CONCENTRACION,0.00
2283,3,EMSSANAR CAPITA,457,906249PR,PRUEBA DE MEZCLAS DEL TIEMPO DE TROMBOPLASTINA PARCIAL,0.00
2278,3,EMSSANAR CAPITA,457,906249PR,PRUEBA DE MEZCLAS DEL TIEMPO DE TROMBOPLASTINA PARCIAL,0.00
324,3,EMSSANAR CAPITA,288,906317,SANGRE OCULTA EN MATERIA FECAL ( DETERMINACION DE HEMOGLOBINA HUMANA ESPECIFICA ),0.00
183,3,EMSSANAR CAPITA,293,906914,IDENTIFICACION DE OTRO VIRUS ( ESPECIFICA ) POR PRUEBAS MOLECULARES,0.00
184,3,EMSSANAR CAPITA,294,906915,COOMBS DIRECTO FRACCIONADO MONOESPECIFICO ( INMUNOGLOBULINAS Y FRACCIONES DEL COMPLEMENTO ) POR MICROTECNICA,0.00
185,3,EMSSANAR CAPITA,296,907002,COOMBS DIRECTO FRACCIONADO MONOESPECIFICO ( INMUNOGLOBULINAS Y FRACCIONES DEL COMPLEMENTO ) EN TUBO,0.00
186,3,EMSSANAR CAPITA,297,907003,COOMBS DIRECTO CUALITATIVO POR MICROTECNICA,0.00
187,3,EMSSANAR CAPITA,298,907004,COOMBS DIRECTO CUALITATIVO EN TUBO,0.00
188,3,EMSSANAR CAPITA,299,907005,HEMOCLASIFICACION SISTEMA RH [ ANTIGENO RH D ] POR MICROTECNICA,0.00
189,3,EMSSANAR CAPITA,300,907008,HEMOCLASIFICACION SISTEMA RH [ ANTIGENO RH D ] EN TUBO,0.00
190,3,EMSSANAR CAPITA,302,907106,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] EN TUBO,0.00
323,3,EMSSANAR CAPITA,304,907202,MOCO CERVICAL ANALISIS (TEST DE HELECHO),0.00
322,3,EMSSANAR CAPITA,476,90DS02,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE,0.00
191,3,EMSSANAR CAPITA,310,911015,RADIOGRAFIA DE SENOS PARANASALES,0.00
192,3,EMSSANAR CAPITA,311,911016,RADIOGRAFIA DE COLUMNA TORACICA,0.00
193,3,EMSSANAR CAPITA,312,911017,RADIOGRAFIA DE COLUMNA LUMBOSACRA,0.00
194,3,EMSSANAR CAPITA,313,911018,RADIOGRAFIA DE TORAX ( P. A. O A. P. Y LATERAL - DECUBITO LATERAL - OBLICUAS O LATERAL ),0.00
195,3,EMSSANAR CAPITA,314,911019,RADIOGRAFIA DE ABDOMEN SIMPLE,0.00
196,3,EMSSANAR CAPITA,315,911020,RADIOGRAFIA DE HUMERO,0.00
307,3,EMSSANAR CAPITA,317,933701,ENTRENAMIENTO PRE - PERI Y POST PARTO,0.00
197,3,EMSSANAR CAPITA,318,935001,TAPONAMIENTO VAGINAL,0.00
198,3,EMSSANAR CAPITA,319,935101,INSERCION DE DISPOSITIVO EN URETRA,0.00
199,3,EMSSANAR CAPITA,320,935301,LAVADO GASTRICO PARA HIPOTERMIA O CONGELACION GASTRICA,0.00
200,3,EMSSANAR CAPITA,321,935302,IRRIGACION Y LAVADO DEL OJO,0.00
201,3,EMSSANAR CAPITA,322,935303,APLICACION O CAMBIO DE YESO O ARNES TORACOLUMBOSACRO,0.00
202,3,EMSSANAR CAPITA,323,935304,LAVADO E IRRIGACION DE OIDOS,0.00
203,3,EMSSANAR CAPITA,324,935305,SUSTITUCION DE TAPON NASAL,0.00
204,3,EMSSANAR CAPITA,325,935306,EXTRACCION DE TAPON NASAL,0.00
205,3,EMSSANAR CAPITA,326,935401,APLICACION DE FERULA,0.00
206,3,EMSSANAR CAPITA,327,935701,RETIRO DE SUTURAS DE CABEZA Y CUELLO ( RETIRO DE PUNTOS ),0.00
207,3,EMSSANAR CAPITA,328,935901,APLICACION DE VENDAJE DE VELPEAU,0.00
208,3,EMSSANAR CAPITA,329,936801,RETIRO DE SUTURAS DE TORAX ( RETIRO DE PUNTOS ),0.00
209,3,EMSSANAR CAPITA,331,939402,EXTRACCION DE TAPON ( MECHA ) VAGINAL O VULVAR,0.00
210,3,EMSSANAR CAPITA,333,943102,VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B - DIFTERIA - TETANOS - TOS FERINA Y HEPATITIS B ( PENTAVALENTE ),0.00
308,3,EMSSANAR CAPITA,334,944002,VACUNACION CONTRA POLIOMIELITIS ( VOP O IVP ),0.00
